DatasetName,ElementNumber,ElementName,EMS Element
CADDataSet,eCad.01,EMS Agency Unique State ID,dAgency.01
CADDataSet,eCad.02,EMS Agency Number,dAgency.02
CADDataSet,eCad.03,EMS Agency Name,dAgency.03
CADDataSet,eCad.04,EMS Agency State,dAgency.04
CADDataSet,eCad.05,Dispatch Center (CAD) Name or ID,dConfiguration.17
CADDataSet,eCad.06,Patient Care Report Number,eRecord.01
CADDataSet,eCad.07,EMS Agency Number,eResponse.01
CADDataSet,eCad.08,EMS Agency Name,eResponse.02
CADDataSet,eCad.09,Incident Number,eResponse.03
CADDataSet,eCad.10,EMS Response Number,eResponse.04
CADDataSet,eCad.11,Type of Service Requested,eResponse.05
CADDataSet,eCad.12,Standby Purpose,eResponse.06
CADDataSet,eCad.13,Primary Role of the Unit,eResponse.07
CADDataSet,eCad.14,Type of Dispatch Delay,eResponse.08
CADDataSet,eCad.15,Type of Response Delay,eResponse.09
CADDataSet,eCad.16,Type of Scene Delay,eResponse.10
CADDataSet,eCad.17,Type of Transport Delay,eResponse.11
CADDataSet,eCad.18,Type of Turn-Around Delay,eResponse.12
CADDataSet,eCad.19,EMS Vehicle (Unit) Number,eResponse.13
CADDataSet,eCad.20,EMS Unit Call Sign,eResponse.14
CADDataSet,eCad.21,Level of Care of This Unit,eResponse.15
CADDataSet,eCad.22,Vehicle Dispatch Location,eResponse.16
CADDataSet,eCad.23,Vehicle Dispatch GPS Location,eResponse.17
CADDataSet,eCad.24,Vehicle Dispatch US National Grid Location,eResponse.18
CADDataSet,eCad.25,Beginning Odometer Reading of Responding Vehicle,eResponse.19
CADDataSet,eCad.26,On-Scene Odometer Reading of Responding Vehicle,eResponse.20
CADDataSet,eCad.27,Patient Destination Odometer Reading of Responding Vehicle,eResponse.21
CADDataSet,eCad.28,Ending Odometer Reading of Responding Vehicle,eResponse.22
CADDataSet,eCad.29,Response Mode to Scene,eResponse.23
CADDataSet,eCad.30,Additional Response Mode Descriptors,eResponse.24
CADDataSet,eCad.31,Complaint Reported by Dispatch,eDispatch.01
CADDataSet,eCad.32,EMD Performed,eDispatch.02
CADDataSet,eCad.33,EMD Card Number,eDispatch.03
CADDataSet,eCad.34,Dispatch Center Name or ID,eDispatch.04
CADDataSet,eCad.35,Dispatch Priority (Patient Acuity),eDispatch.05
CADDataSet,eCad.36,PSAP Call Date/Time,eTimes.01
CADDataSet,eCad.37,Dispatch Notified Date/Time,eTimes.02
CADDataSet,eCad.38,Unit Notified by Dispatch Date/Time,eTimes.03
CADDataSet,eCad.39,Dispatch Acknowledged Date/Time,eTimes.04
CADDataSet,eCad.40,Unit En Route Date/Time,eTimes.05
CADDataSet,eCad.41,Unit Arrived on Scene Date/Time,eTimes.06
CADDataSet,eCad.42,Arrived at Patient Date/Time,eTimes.07
CADDataSet,eCad.43,Transfer of EMS Patient Care Date/Time,eTimes.08
CADDataSet,eCad.44,Unit Left Scene Date/Time,eTimes.09
CADDataSet,eCad.45,Arrival at Destination Landing Area Date/Time,eTimes.10
CADDataSet,eCad.46,Patient Arrived at Destination Date/Time,eTimes.11
CADDataSet,eCad.47,Destination Patient Transfer of Care Date/Time,eTimes.12
CADDataSet,eCad.48,Unit Back in Service Date/Time,eTimes.13
CADDataSet,eCad.49,Unit Canceled Date/Time,eTimes.14
CADDataSet,eCad.50,Unit Back at Home Location Date/Time,eTimes.15
CADDataSet,eCad.51,EMS Call Completed Date/Time,eTimes.16
CADDataSet,eCad.52,EMS Patient ID,ePatient.01
CADDataSet,eCad.53,Last Name,ePatient.02
CADDataSet,eCad.54,First Name,ePatient.03
CADDataSet,eCad.55,Middle Initial/Name,ePatient.04
CADDataSet,eCad.56,Patient's Home Address,ePatient.05
CADDataSet,eCad.57,Patient's Home City,ePatient.06
CADDataSet,eCad.58,Patient's Home County,ePatient.07
CADDataSet,eCad.59,Patient's Home State,ePatient.08
CADDataSet,eCad.60,Patient's Home ZIP Code,ePatient.09
CADDataSet,eCad.61,Patient's Home Country,ePatient.10
CADDataSet,eCad.62,Patient Home Census Tract,ePatient.11
CADDataSet,eCad.63,Social Security Number,ePatient.12
CADDataSet,eCad.64,Gender,ePatient.13
CADDataSet,eCad.65,Race,ePatient.14
CADDataSet,eCad.66,Age,ePatient.15
CADDataSet,eCad.67,Age Units,ePatient.16
CADDataSet,eCad.68,Date of Birth,ePatient.17
CADDataSet,eCad.69,Patient's Phone Number,ePatient.18
CADDataSet,eCad.70,First EMS Unit on Scene,eScene.01
CADDataSet,eCad.71,Other EMS or Public Safety Agencies at Scene,eScene.02
CADDataSet,eCad.72,Other EMS or Public Safety Agency ID Number,eScene.03
CADDataSet,eCad.73,Type of Other Service at Scene,eScene.04
CADDataSet,eCad.74,Date/Time Initial Responder Arrived on Scene,eScene.05
CADDataSet,eCad.75,Number of Patients at Scene,eScene.06
CADDataSet,eCad.76,Mass Casualty Incident,eScene.07
CADDataSet,eCad.77,Triage Classification for MCI Patient,eScene.08
CADDataSet,eCad.78,Incident Location Type,eScene.09
CADDataSet,eCad.79,Incident Facility Code,eScene.10
CADDataSet,eCad.80,Scene GPS Location,eScene.11
CADDataSet,eCad.81,Scene US National Grid Coordinates,eScene.12
CADDataSet,eCad.82,Incident Facility or Location Name,eScene.13
CADDataSet,eCad.83,Mile Post or Major Roadway,eScene.14
CADDataSet,eCad.84,Incident Street Address,eScene.15
CADDataSet,eCad.85,"Incident Apartment, Suite, or Room",eScene.16
CADDataSet,eCad.86,Incident City,eScene.17
