'Dataset'|'DatasetType'|'ElementNumber'|'ElementName'|'Attribute'|
'CADDataSet'|'group'|'eCustomConfiguration.CustomGroup'|''|'CustomElementID'|
'CADDataSet'|'element'|'eCustomConfiguration.01'|'Custom Data Element Title'|'nemsisElement'|
'CADDataSet'|'element'|'eCustomConfiguration.06'|'Custom Data Element Potential Values'|'nemsisCode'|
'CADDataSet'|'element'|'eCustomConfiguration.06'|'Custom Data Element Potential Values'|'customValueDescription'|
'CADDataSet'|'element'|'eCad.05'|'Dispatch Center (CAD) Name or ID'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.09'|'Incident Number'|'NV'|
'CADDataSet'|'element'|'eCad.14'|'Type of Dispatch Delay'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.15'|'Type of Response Delay'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.16'|'Type of Scene Delay'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.17'|'Type of Transport Delay'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.18'|'Type of Turn-Around Delay'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.30'|'Additional Response Mode Descriptors'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.56'|'Patient's Home Address'|'StreetAddress2'|
'CADDataSet'|'element'|'eCad.65'|'Race'|'CorrelationID'|
'CADDataSet'|'element'|'eCad.69'|'Patient's Phone Number'|'PhoneNumberType'|
'CADDataSet'|'element'|'eCad.69'|'Patient's Phone Number'|'CorrelationID'|
'CADDataSet'|'group'|'eCad.ResponderGroup'|''|'CorrelationID'|
'CADDataSet'|'element'|'eCad.84'|'Incident Street Address'|'StreetAddress2'|
'CADDataSet'|'element'|'eCad.95'|'Destination Street Address'|'StreetAddress2'|
'CADDataSet'|'element'|'eCad.106'|'Additional Transport Mode Descriptors'|'CorrelationID'|
'CADDataSet'|'group'|'eCad.HospitalTeamActivationGroup'|''|'CorrelationID'|
'CADDataSet'|'group'|'eCustomResults.ResultsGroup'|''|'CorrelationID'|
'CADDataSet'|'element'|'eCustomResults.01'|'Custom Data Element Result'|'NV'|
'CADDataSet'|'element'|'eCustomResults.01'|'Custom Data Element Result'|'PN'|
