"DatasetName","DatasetType","ElementNumber","ElementName","V2Number","National","State","Definition","Usage","Comment","V3Changes","MinOccurs","MaxOccurs","IsNillable","DataType","NV","PN","PNNill","NVList","PNList","minLength","maxLength","length","minInclusive","maxInclusive","minExclusive","totalDigits","fractionDigits","pattern",
"CADDataSet","element","eCustomConfiguration.01","Custom Data Element Title","","","","This is the title of the custom data element created to collect information that is not defined formally in NEMSIS Version 3.","Mandatory","This is grouped with all data elements in this section and can have multiple instances.","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","1","1","","CustomTitle","","","","","","2","100","","","","","","","",
"CADDataSet","element","eCustomConfiguration.02","Custom Definition","","","","The definition of the custom element and how it should be used.","Mandatory","","","1","1","","CustomDefinition","","","","","","0","255","","","","","","","",
"CADDataSet","element","eCustomConfiguration.03","Custom Data Type","","","","The data type of the custom element.","Mandatory","","","1","1","","CustomDataType","","","","","","","","","","","","","","",
"CADDataSet","element","eCustomConfiguration.04","Custom Data Element Recurrence","","","","Indication if the data element will accept multiple values.","Mandatory","","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","1","1","","YesNoValues","","","","","","","","","","","","","","",
"CADDataSet","element","eCustomConfiguration.05","Custom Data Element Usage","","","","The Usage (Mandatory, Required, Recommended or Optional) for the Custom Data Element.","Mandatory","Mandatory = Must be completed and will not accept null values                     <br/>Required = Must be completed but will accept null values                     <br/>Recommended = Not required but if collected will accept null values                     <br/>Optional = Not required but if collected, it cannot be a null value.","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","1","1","","ElementUsage","","","","","","","","","","","","","","",
"CADDataSet","element","eCustomConfiguration.06","Custom Data Element Potential Values","","","","The values which are associated with the Custom Data Element. Values would be the choices provided to the user when they document the Custom Data Element","Optional","","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","0","M","","CustomValue","","","","","","1","100","","","","","","","",
"CADDataSet","element","eCustomConfiguration.07","Custom Data Element Potential NOT Values (NV)","","","","NOT Values (NV) associated with the custom element","Optional","","","0","M","","NV","","","","","","","","","","","","","","",
"CADDataSet","element","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","","","","Pertinent Negative Values (PN) associated with the custom element","Optional","","","0","M","","PN","","","","","","","","","","","","","","",
"CADDataSet","element","eCad.01","EMS Agency Unique State ID","","","","The unique ID assigned to the EMS Agency which is associated with all state licensure numbers and information.","Optional","This may be the EMS Agency Name or a unique number assigned by the state EMS office. This is required to document multiple license types and numbers associated with the same EMS Agency.","","0","1","","EMSAgencyStateID","","","","","","1","50","","","","","","","",
"CADDataSet","element","eCad.02","EMS Agency Number","D01_01","","","The state-assigned provider number of the responding agency","Optional","This is the primary identifier for the entire Demographic Section.  Each of the Demographic sections must be associated with an EMS Agency Number. An EMS Agency can have more than one Agency Number within a state. This reflects the ability for an EMS Agency to have a different number for each service type or location (based on state implementation).","","0","1","","EMSAgencyNumber","","","","","","1","15","","","","","","","",
"CADDataSet","element","eCad.03","EMS Agency Name","D01_02","","","The formal name of the agency.","Optional","","","0","1","","EMSAgencyName","","","","","","2","100","","","","","","","",
"CADDataSet","element","eCad.04","EMS Agency State","D01_03","","","The state/territory which assigned the EMS agency number.","Optional","This has been clarified to reflect that it is the state in which the EMS Agency resides and the state associated with the EMS Agency number.                   <br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","0","1","","ANSIStateCode","","","","","","","","2","","","","","","",
"CADDataSet","element","eCad.05","Dispatch Center (CAD) Name or ID","","","","The name or ID of the dispatch center providing electronic data to the PCR for the EMS agency, if applicable.","Optional","This element can be used to identify the dispatch center (Primary or Secondary Service Answering Point - PSAP) that dispatches the EMS agency.  If the EMS agency is able to populate the Patient Care Report (PCR) with CAD specific details (times, incident address information, crew information, EMD, etc) the name or ID of the dispatch center should be documented. Information in dConfiguration.17 may be used to populate eDispatch.04 - Computer Aided Dispatch (CAD) Name or ID if a CAD integration exists.","Added to the dataset to assist in identifying the CAD / dispatch center providing information to the EMS agency and ePCR when there are multiple dispatch centers sending resources to the same EMS incident.","0","M","","DispatchCenterCADNameorID","","","","","","2","100","","","","","","","",
"CADDataSet","element","eCad.06","Patient Care Report Number","E01_01","","","The unique number automatically assigned by the EMS agency for each Patient Care Report (PCR). This should be a unique number for the EMS agency for all of time.","Optional","","","0","1","","PatientCareReportNumber","","","","","","3","32","","","","","","","",
