"DatasetName","ElementNumber","ElementName","Code","CodeDescription",
"CADDataSet","eCustomConfiguration.03","Custom Data Type","9902001","Binary",
"CADDataSet","eCustomConfiguration.03","Custom Data Type","9902003","Date/Time",
"CADDataSet","eCustomConfiguration.03","Custom Data Type","9902005","Integer/Number",
"CADDataSet","eCustomConfiguration.03","Custom Data Type","9902007","Other (Not Listed)",
"CADDataSet","eCustomConfiguration.03","Custom Data Type","9902009","Text/String",
"CADDataSet","eCustomConfiguration.04","Custom Data Element Recurrence","9923001","No",
"CADDataSet","eCustomConfiguration.04","Custom Data Element Recurrence","9923003","Yes",
"CADDataSet","eCustomConfiguration.05","Custom Data Element Usage","9903001","Mandatory",
"CADDataSet","eCustomConfiguration.05","Custom Data Element Usage","9903003","Required",
"CADDataSet","eCustomConfiguration.05","Custom Data Element Usage","9903005","Recommended",
"CADDataSet","eCustomConfiguration.05","Custom Data Element Usage","9903007","Optional",
"CADDataSet","eCustomConfiguration.07","Custom Data Element Potential NOT Values (NV)","7701001","Not Applicable",
"CADDataSet","eCustomConfiguration.07","Custom Data Element Potential NOT Values (NV)","7701003","Not Recorded",
"CADDataSet","eCustomConfiguration.07","Custom Data Element Potential NOT Values (NV)","7701005","Not Reporting",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801001","Contraindication Noted",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801003","Denied By Order",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801005","Exam Finding Not Present",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801007","Medication Allergy",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801009","Medication Already Taken",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801013","No Known Drug Allergy",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801015","None Reported",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801017","Not Performed by EMS",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801019","Refused",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801021","Unresponsive",
"CADDataSet","eCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","8801023","Unable to Complete",
"CADDataSet","eCad.11","Type of Service Requested","2205001","911 Response (Scene)",
"CADDataSet","eCad.11","Type of Service Requested","2205003","Intercept",
"CADDataSet","eCad.11","Type of Service Requested","2205005","Interfacility Transport",
"CADDataSet","eCad.11","Type of Service Requested","2205007","Medical Transport",
"CADDataSet","eCad.11","Type of Service Requested","2205009","Mutual Aid",
"CADDataSet","eCad.11","Type of Service Requested","2205011","Public Assistance/Other Not Listed",
"CADDataSet","eCad.11","Type of Service Requested","2205013","Standby",
"CADDataSet","eCad.12","Standby Purpose","2206001","Disaster Event-Drill/Exercise",
"CADDataSet","eCad.12","Standby Purpose","2206003","Disaster Event-Live Staging",
"CADDataSet","eCad.12","Standby Purpose","2206005","Education",
"CADDataSet","eCad.12","Standby Purpose","2206007","EMS Staging-Improve Coverage",
"CADDataSet","eCad.12","Standby Purpose","2206009","Fire Support-Rehab",
"CADDataSet","eCad.12","Standby Purpose","2206011","Fire Support-Standby",
"CADDataSet","eCad.12","Standby Purpose","2206013","Mass Gathering-Concert/Entertainment Event",
"CADDataSet","eCad.12","Standby Purpose","2206015","Mass Gathering-Fair/Community Event",
"CADDataSet","eCad.12","Standby Purpose","2206017","Mass Gathering-Sporting Event",
"CADDataSet","eCad.12","Standby Purpose","2206019","Other (Not Listed)",
"CADDataSet","eCad.12","Standby Purpose","2206021","Public Safety Support",
"CADDataSet","eCad.13","Primary Role of the Unit","2207001","Air Transport",
"CADDataSet","eCad.13","Primary Role of the Unit","2207003","Ground Transport",
"CADDataSet","eCad.13","Primary Role of the Unit","2207005","Non-Transport Administrative (e.g., Supervisor)",
"CADDataSet","eCad.13","Primary Role of the Unit","2207007","Non-Transport Assistance",
"CADDataSet","eCad.13","Primary Role of the Unit","2207009","Non-Transport Rescue",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208001","Caller (Uncooperative)",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208003","Diversion/Failure (of previous unit)",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208005","High Call Volume",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208007","Language Barrier",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208009","Location (Inability to Obtain)",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208011","No EMS Vehicles (Units) Available",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208013","None/No Delay",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208015","Other (Not Listed)",
"CADDataSet","eCad.14","Type of Dispatch Delay","2208017","Technical Failure (Computer, Phone etc.)",
"CADDataSet","eCad.15","Type of Response Delay","2209001","Crowd",
"CADDataSet","eCad.15","Type of Response Delay","2209003","Directions/Unable to Locate",
"CADDataSet","eCad.15","Type of Response Delay","2209005","Distance",
"CADDataSet","eCad.15","Type of Response Delay","2209007","Diversion (Different Incident)",
"CADDataSet","eCad.15","Type of Response Delay","2209009","HazMat",
"CADDataSet","eCad.15","Type of Response Delay","2209011","None/No Delay",
"CADDataSet","eCad.15","Type of Response Delay","2209013","Other (Not Listed)",
"CADDataSet","eCad.15","Type of Response Delay","2209015","Rendezvous Transport Unavailable",
"CADDataSet","eCad.15","Type of Response Delay","2209017","Route Obstruction (e.g., train)",
"CADDataSet","eCad.15","Type of Response Delay","2209019","Scene Safety (Not Secure for EMS)",
"CADDataSet","eCad.15","Type of Response Delay","2209021","Staff Delay",
"CADDataSet","eCad.15","Type of Response Delay","2209023","Traffic",
"CADDataSet","eCad.15","Type of Response Delay","2209025","Vehicle Crash Involving this Unit",
"CADDataSet","eCad.15","Type of Response Delay","2209027","Vehicle Failure of this Unit",
"CADDataSet","eCad.15","Type of Response Delay","2209029","Weather",
"CADDataSet","eCad.16","Type of Scene Delay","2210001","Awaiting Air Unit",
"CADDataSet","eCad.16","Type of Scene Delay","2210003","Awaiting Ground Unit",
"CADDataSet","eCad.16","Type of Scene Delay","2210005","Crowd",
"CADDataSet","eCad.16","Type of Scene Delay","2210007","Directions/Unable to Locate",
"CADDataSet","eCad.16","Type of Scene Delay","2210009","Distance",
"CADDataSet","eCad.16","Type of Scene Delay","2210011","Extrication",
"CADDataSet","eCad.16","Type of Scene Delay","2210013","HazMat",
"CADDataSet","eCad.16","Type of Scene Delay","2210015","Language Barrier",
"CADDataSet","eCad.16","Type of Scene Delay","2210017","None/No Delay",
"CADDataSet","eCad.16","Type of Scene Delay","2210019","Other (Not Listed)",
"CADDataSet","eCad.16","Type of Scene Delay","2210021","Patient Access",
"CADDataSet","eCad.16","Type of Scene Delay","2210023","Safety-Crew/Staging",
"CADDataSet","eCad.16","Type of Scene Delay","2210025","Safety-Patient",
"CADDataSet","eCad.16","Type of Scene Delay","2210027","Staff Delay",
"CADDataSet","eCad.16","Type of Scene Delay","2210029","Traffic",
"CADDataSet","eCad.16","Type of Scene Delay","2210031","Triage/Multiple Patients",
"CADDataSet","eCad.16","Type of Scene Delay","2210033","Vehicle Crash Involving this Unit",
"CADDataSet","eCad.16","Type of Scene Delay","2210035","Vehicle Failure of this Unit",
"CADDataSet","eCad.16","Type of Scene Delay","2210037","Weather",
"CADDataSet","eCad.17","Type of Transport Delay","2211001","Crowd",
"CADDataSet","eCad.17","Type of Transport Delay","2211003","Directions/Unable to Locate",
"CADDataSet","eCad.17","Type of Transport Delay","2211005","Distance",
"CADDataSet","eCad.17","Type of Transport Delay","2211007","Diversion",
"CADDataSet","eCad.17","Type of Transport Delay","2211009","HazMat",
"CADDataSet","eCad.17","Type of Transport Delay","2211011","None/No Delay",
