'Dataset'|'DatasetType'|'ElementNumber'|'ElementName'|'National'|'State'|'Airway'|'CardiacArrest'|'Pediatric'|'ResponseTime'|'STEMI'|'Stroke'|'Trauma'|
'CADDataSet'|'element'|'eCustomConfiguration.01'|'Custom Data Element Title'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.02'|'Custom Definition'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.03'|'Custom Data Type'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.04'|'Custom Data Element Recurrence'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.05'|'Custom Data Element Usage'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.06'|'Custom Data Element Potential Values'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.07'|'Custom Data Element Potential NOT Values (NV)'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.08'|'Custom Data Element Potential Pertinent Negative Values (PN)'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCustomConfiguration.09'|'Custom Data Element Grouping ID'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.06'|'Patient Care Report Number'|''|''|'X'|'X'|'X'|''|'X'|'X'|'X'|
'CADDataSet'|'element'|'eCad.07'|'EMS Agency Number'|''|''|'X'|'X'|'X'|''|'X'|'X'|'X'|
'CADDataSet'|'element'|'eCad.08'|'EMS Agency Name'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.09'|'Incident Number'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.10'|'EMS Response Number'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.11'|'Type of Service Requested'|''|''|'X'|'X'|'X'|''|'X'|'X'|'X'|
'CADDataSet'|'element'|'eCad.12'|'Standby Purpose'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.13'|'Primary Role of the Unit'|''|''|'X'|'X'|'X'|''|'X'|'X'|'X'|
'CADDataSet'|'element'|'eCad.14'|'Type of Dispatch Delay'|''|''|'X'|'X'|'X'|''|'X'|'X'|'X'|
'CADDataSet'|'element'|'eCad.15'|'Type of Response Delay'|''|''|'X'|'X'|'X'|''|'X'|'X'|'X'|
'CADDataSet'|'element'|'eCad.19'|'EMS Vehicle (Unit) Number'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.20'|'EMS Unit Call Sign'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.21'|'Level of Care of This Unit'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.22'|'Vehicle Dispatch Location'|''|''|''|''|''|''|''|''|''|
'CADDataSet'|'element'|'eCad.23'|'Vehicle Dispatch GPS Location'|''|''|''|''|''|''|''|''|''|
