"DatasetName","DatasetType","ElementNumber","ElementName","V2Number","National","State","Definition","Usage","Comment","V3Changes","MinOccurs","MaxOccurs","IsNillable","DataType","NV","PN","PNNill","NVList","PNList","minLength","maxLength","length","minInclusive","maxInclusive","minExclusive","totalDigits","fractionDigits","pattern",
"DEMDataSet","element","dState.01","State Required Element","","","","Indicates which elements are required by the state.","Optional","","","0","M","","StateRequiredElement","","","","","","1","100","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.01","Custom Data Element Title","","","","This is the title of the custom data element created to collect information that is not defined formally in NEMSIS Version 3.","Mandatory","This is grouped with all data elements in this section and can have multiple instances.","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","1","1","","CustomTitle","","","","","","2","100","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.02","Custom Definition","","","","The definition of the custom element and how it should be used.","Mandatory","","","1","1","","CustomDefinition","","","","","","0","255","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.03","Custom Data Type","","","","The data type of the custom element.","Mandatory","","","1","1","","CustomDataType","","","","","","","","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.04","Custom Data Element Recurrence","","","","Indication if the data element will accept multiple values.","Mandatory","","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","1","1","","YesNoValues","","","","","","","","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.05","Custom Data Element Usage","","","","The Usage (Mandatory, Required, Recommended, or Optional) for the Custom Data Element.","Mandatory","Mandatory = Must be completed and will not accept null values 										<br/>Required = Must be completed but will accept null values 										<br/>Recommended = Not required but if collected will accept null values 										<br/>Optional = Not required but if collected, it cannot be a null value.","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","1","1","","ElementUsage","","","","","","","","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.06","Custom Data Element Potential Values","","","","The values which are associated with the Custom Data Element. Values would be the choices provided to the user when they document the Custom Data Element","Optional","","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","0","M","","CustomValue","","","","","","1","100","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.07","Custom Data Element Potential NOT Values (NV)","","","","NOT Values (NV) associated with the custom element","Optional","","","0","M","","NV","","","","","","","","","","","","","","",
"DEMDataSet","element","dCustomConfiguration.08","Custom Data Element Potential Pertinent Negative Values (PN)","","","","Pertinent Negative Values (PN) associated with the custom element","Optional","","","0","M","","PN","","","","","","","","","","","","","","",
"DEMDataSet","element","dAgency.01","EMS Agency Unique State ID","","National","State","The unique ID assigned to the EMS Agency which is associated with all state licensure numbers and information.","Mandatory","This may be the EMS Agency Name or a unique number assigned by the state EMS office. This is required to document multiple license types and numbers associated with the same EMS Agency.","","1","1","","EMSAgencyStateID","","","","","","1","50","","","","","","","",
