"DatasetName","DatasetType","ElementNumber","ElementName","V2Number","National","State","Definition","Usage","Comment","V3Changes","MinOccurs","MaxOccurs","IsNillable","DataType","NV","PN","PNNill","NVList","PNList","minLength","maxLength","length","minInclusive","maxInclusive","minExclusive","totalDigits","fractionDigits","pattern",
"EMSDataSet","element","eState.01","State Required Element","","","","Indicates which elements are required by the state","Optional","","","0","M","","StateRequiredElement","","","","","","1","100","","","","","","","",
"EMSDataSet","element","dAgency.01","EMS Agency Unique State ID","","National","State","The unique ID assigned to the EMS Agency which is associated with all state licensure numbers and information.","Mandatory","This may be the EMS Agency Name or a unique number assigned by the state EMS office. This is required to document multiple license types and numbers associated with the same EMS Agency.","","1","1","","EMSAgencyStateID","","","","","","1","50","","","","","","","",
"EMSDataSet","element","dAgency.02","EMS Agency Number","D01_01","National","State","The state-assigned provider number of the responding agency","Mandatory","This is the primary identifier for the entire Demographic Section.  Each of the Demographic sections must be associated with an EMS Agency Number. An EMS Agency can have more than one Agency Number within a state. This reflects the ability for an EMS Agency to have a different number for each service type or location (based on state implementation).","","1","1","","EMSAgencyNumber","","","","","","1","15","","","","","","","",
"EMSDataSet","element","dAgency.04","EMS Agency State","D01_03","National","State","The state/territory which assigned the EMS agency number.","Mandatory","This has been clarified to reflect that it is the state in which the EMS Agency resides and the state associated with the EMS Agency number. 																	<br/><br/>GNIS Codes Website: <a>http://geonames.usgs.gov/domestic/download_data.htm</a>","","1","1","","ANSIStateCode","","","","","","","","2","","","","","","",
"EMSDataSet","element","eCustomConfiguration.01","Custom Data Element Title","","","","This is the title of the custom data element created to collect information that is not defined formally in NEMSIS Version 3.","Optional","This is grouped with all data elements in this section and can have multiple instances.","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","0","1","","CustomTitle","","","","","","2","100","","","","","","","",
"EMSDataSet","element","eCustomConfiguration.02","Custom Definition","","","","The definition of the custom element and how it should be used.","Optional","","","0","1","","CustomDefinition","","","","","","0","255","","","","","","","",
"EMSDataSet","element","eCustomConfiguration.03","Custom Data Type","","","","The data type of the custom element.","Optional","","","0","1","","CustomDataType","","","","","","","","","","","","","","",
"EMSDataSet","element","eCustomConfiguration.04","Custom Data Element Recurrence","","","","Indication if the data element will accept multiple values.","Optional","","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","0","1","","YesNoValues","","","","","","","","","","","","","","",
"EMSDataSet","element","eCustomConfiguration.05","Custom Data Element Usage","","","","The Usage (Mandatory, Required, Recommended or Optional) for the Custom Data Element.","Optional","Mandatory = Must be completed and will not accept null values                     <br/>Required = Must be completed but will accept null values                     <br/>Recommended = Not required but if collected will accept null values                     <br/>Optional = Not required but if collected, it cannot be a null value.","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","0","1","","ElementUsage","","","","","","","","","","","","","","",
"EMSDataSet","element","eCustomConfiguration.06","Custom Data Element Potential Values","","","","The values which are associated with the Custom Data Element. Values would be the choices provided to the user when they document the Custom Data Element","Optional","","Added to allow customized data elements to be inserted and collected from within the NEMSIS Version 3 standard.","0","M","","CustomValue","","","","","","1","100","","","","","","","",
