'DatasetName'|'ElementNumber'|'ElementName'|'Code'|'CodeDescription'|
'StateDataSet'|'seCustomConfiguration.03'|'Patient Care Report Custom Data Type'|'9902001'|'Binary'|
'StateDataSet'|'seCustomConfiguration.03'|'Patient Care Report Custom Data Type'|'9902003'|'Date/Time'|
'StateDataSet'|'seCustomConfiguration.03'|'Patient Care Report Custom Data Type'|'9902005'|'Integer/Number'|
'StateDataSet'|'seCustomConfiguration.03'|'Patient Care Report Custom Data Type'|'9902007'|'Other'|
'StateDataSet'|'seCustomConfiguration.03'|'Patient Care Report Custom Data Type'|'9902009'|'Text/String'|
'StateDataSet'|'seCustomConfiguration.03'|'Patient Care Report Custom Data Type'|'9902011'|'Boolean'|
'StateDataSet'|'seCustomConfiguration.04'|'Patient Care Report Custom Data Element Recurrence'|'9923001'|'No'|
'StateDataSet'|'seCustomConfiguration.04'|'Patient Care Report Custom Data Element Recurrence'|'9923003'|'Yes'|
'StateDataSet'|'seCustomConfiguration.05'|'Patient Care Report Custom Data Element Usage'|'9903001'|'Mandatory'|
'StateDataSet'|'seCustomConfiguration.05'|'Patient Care Report Custom Data Element Usage'|'9903003'|'Required'|
'StateDataSet'|'seCustomConfiguration.05'|'Patient Care Report Custom Data Element Usage'|'9903005'|'Recommended'|
'StateDataSet'|'seCustomConfiguration.05'|'Patient Care Report Custom Data Element Usage'|'9903007'|'Optional'|
'StateDataSet'|'seCustomConfiguration.07'|'Patient Care Report Custom Data Element Potential NOT Values (NV)'|'7701001'|'Not Applicable'|
'StateDataSet'|'seCustomConfiguration.07'|'Patient Care Report Custom Data Element Potential NOT Values (NV)'|'7701003'|'Not Recorded'|
'StateDataSet'|'seCustomConfiguration.07'|'Patient Care Report Custom Data Element Potential NOT Values (NV)'|'7701005'|'Not Reporting'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801001'|'Contraindication Noted'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801003'|'Denied By Order'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801005'|'Exam Finding Not Present'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801007'|'Medication Allergy'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801009'|'Medication Already Taken'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801013'|'No Known Drug Allergy'|
'StateDataSet'|'seCustomConfiguration.08'|'Patient Care Report Custom Data Element Potential Pertinent Negative Values (PN)'|'8801015'|'None Reported'|
