"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"W54","","Animal","Contact with dog","Contact with dog","","2023-02-14",
"W64","","Animal","Exposure to other animate mechanical forces","Contact with nonvenomous animal, NOS","","2021-05-06",
"T71","","Asphyxiation","Asphyxiation","Asphyxiation","","2021-05-06",
"T71.16","","Asphyxiation","Asphyxiation due to hanging","Hanging","","2021-05-06",
"T71.13","","Asphyxiation","Asphyxiation due to being trapped in bed linens","Trapped in bed linens","","2021-05-06",
"W51","","Bodily Force","Accidental striking against or bumped into by another person","Hit against or bumped into by another person (accidental)","","2021-05-06",
"W50","","Bodily Force","Accidental hit, strike, kick, twist, bite or scratch by another person","Hit/kick/bite/scratch by another person (accidental)","","2021-05-06",
"W65","","Drowning","Accidental drowning and submersion while in bath-tub","Bath-tub","","2021-05-06",
"W69","","Drowning","Accidental drowning and submersion while in natural water","Natural water","","2021-05-06",
"W74","","Drowning","Unspecified cause of accidental drowning and submersion","Other","","2021-05-06",
"W67","","Drowning","Accidental drowning and submersion while in swimming-pool","Swimming pool","","2021-05-06",
"X31","","Environmental","Exposure to excessive natural cold","Exposure to excessive natural cold","","2021-05-06",
"X30","","Environmental","Exposure to excessive natural heat","Exposure to excessive natural heat","","2021-05-06",
"X00","","Environmental","Exposure to uncontrolled fire in building or structure","Exposure to uncontrolled fire in building or structure","","2021-05-06",
"W06","","Fall","Fall from bed","Bed","","2021-05-06",
"W07","","Fall","Fall from chair","Chair","","2021-05-06",
"Y30","","Fall","Falling, jumping or pushed from a high place, undetermined intent","Fall/jump/push from high place, NOS","","2021-05-06",
"W08","","Fall","Fall from other furniture","Furniture, NOS","","2021-05-06",
"W00.9","","Fall","Unspecified fall due to ice and snow","Ice, snow","","2021-05-06",
"W11","","Fall","Fall on and from ladder","Ladder","","2021-05-06",
"W17","","Fall","Other fall from one level to another","One level to another","","2021-05-06",
"W18","","Fall","Other slipping, tripping and stumbling and falls","Other slipping, tripping and stumbling and falls","","2021-05-06",
"W09","","Fall","Fall on and from playground equipment","Playground equipment","","2021-05-06",
"W01","","Fall","Fall on same level from slipping, tripping and stumbling","Same level slip, trip, stumble","","2021-05-06",
"W18.30","","Fall","Fall on same level, unspecified","Same level, NOS","","2021-05-06",
"W18.2","","Fall","Fall in (into) shower or empty bathtub","Shower/empty bath-tub","","2021-05-06",
"W18.4","","Fall","Slipping, tripping and stumbling without falling","Slip, trip, stumble without fall","","2021-05-06",
"W10.9","","Fall","Fall (on) (from) unspecified stairs and steps","Stairs/steps","","2021-05-06",
"W18.1","","Fall","Fall from or off toilet","Toilet","","2021-05-06",
"W19","","Fall","Unspecified fall","Unspecified fall, NOS","","2021-05-06",
"W05","","Fall","Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter","Wheelchair/nonmotorized scooter/motorized mobility scooter","","2021-05-06",
"T76","","Intent","Adult and child abuse, neglect and other maltreatment, suspected","Abuse/Neglect NOS, suspected","","2021-05-06",
"Y00","","Intent","Assault by blunt object","Assault by blunt object","","2021-05-06",
"Y04","","Intent","Assault by bodily force","Assault by bodily force","","2021-05-06",
