"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"R10.0","","Abdominal","Acute abdomen","Acute pain","","2021-05-06",
"R10.84","","Abdominal","Generalized abdominal pain","Generalized pain","Includes R:10.9 Unspecified abdominal pain","2021-05-06",
"T50.90","","Alcohol/Drug Exposure","Poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances","Adverse effect of unspecified substance","Includes T50.904, T50.904A","2021-05-06",
"F10.92","","Alcohol/Drug Exposure","Alcohol use, unspecified with intoxication","Alcohol intoxication","","2021-05-06",
"F10.9","","Alcohol/Drug Exposure","Alcohol use, unspecified","Alcohol use","","2021-05-06",
"F10.23","","Alcohol/Drug Exposure","Alcohol dependence with withdrawal","Alcohol withdrawal","Includes F10.239 Alcohol dependence with withdrawal, unspecified","2021-05-06",
"F11","","Alcohol/Drug Exposure","Opioid related disorders","Suspected Opioid related","","2021-05-06",
"F19","","Alcohol/Drug Exposure","Other psychoactive substance related disorders","Other psychoactive substance","","2021-05-06",
"F13","","Alcohol/Drug Exposure","Sedative, hypnotic, or anxiolytic related disorders","Sedative, anti-anxiety related","","2021-05-06",
"I20.9","","Cardiovascular","Angina pectoris, unspecified","Angina (pain related to heart)","Includes I20.0 Unstable angina","2021-05-06",
"I49.9","","Cardiovascular","Cardiac arrhythmia, unspecified","Arrhythmia","","2021-05-06",
"I46.9","","Cardiovascular","Cardiac arrest, cause unspecified","Cardiac arrest","","2021-05-06",
"R07.9","","Cardiovascular","Chest pain, unspecified","Chest pain, NOS","Includes R07.89 Other chest pain","2021-05-06",
"I21","","Cardiovascular","Acute myocardial infarction","Myocardial Infarction, NOS","","2021-05-06",
"I50.9","","Cardiovascular","Heart failure, unspecified","Heart failure","","2021-05-06",
"I10","","Cardiovascular","Essential (primary) hypertension","Hypertension","","2021-05-06",
"I95.9","","Cardiovascular","Hypotension, unspecified","Hypotension","","2021-05-06",
"I21.4","","Cardiovascular","Non-ST elevation (NSTEMI) myocardial infarction","Non-STEMI","","2021-05-06",
"I99.9","","Cardiovascular","Unspecified disorder of circulatory system","Other, unspecified CV disorder","","2021-05-06",
"I21.3","","Cardiovascular","ST elevation (STEMI) myocardial infarction of unspecified site","STEMI","","2021-05-06",
"K92.2","","Digestive","Gastrointestinal hemorrhage, unspecified","Blood in vomit or stool (GI bleed)","Includes K92.0 Hematemesis","2021-05-06",
"K59.00","","Digestive","Constipation, unspecified","Constipation","","2021-05-06",
"K59.1","","Digestive","Functional diarrhea","Diarrhea","","2021-05-06",
"R11.0","","Digestive","Nausea","Nausea","","2021-05-06",
"R11.1","","Digestive","Vomiting","Vomiting","Includes R11.10 Vomiting, unspecified","2021-05-06",
"F41.9","","Emotional State/Behavior","Anxiety disorder, unspecified","Anxiety","Includes F41.1 Generalized anxiety disorder","2021-05-06",
"F32","","Emotional State/Behavior","Major depressive disorder, single episode","Depression","Includes F32.9 Major depressive disorder, single episode, unspecified","2021-05-06",
"R45.85","","Emotional State/Behavior","Homicidal and suicidal ideations","Homicidal ideation","8/29 removed ""and suicidal"" from EMS Description, already covered in R45.851","2021-05-06",
"F99","","Emotional State/Behavior","Mental disorder, not otherwise specified","Mental illness, NOS","","2021-05-06",
"R45.89","","Emotional State/Behavior","Other symptoms and signs involving emotional state","Other emotional symptoms","","2021-05-06",
"F60.8","","Emotional State/Behavior","Other specific personality disorders","Other personality disorder","","2021-05-06",
"R45.851","","Emotional State/Behavior","Suicidal ideations","Suicidal ideation","","2021-05-06",
"T14.91","","Emotional State/Behavior","Suicide attempt","Suicide attempt","","2021-05-06",
"R73.9","","Endocrine/Urinary","Hyperglycemia, unspecified","Hyperglycemia","","2021-05-06",
"E13.65","","Endocrine/Urinary","Other specified diabetes mellitus with hyperglycemia","Hyperglycemia, known diabetic","","2021-05-06",
"E16.2","","Endocrine/Urinary","Hypoglycemia, unspecified","Hypoglycemia","","2021-05-06",
"E13.64","","Endocrine/Urinary","Other specified diabetes mellitus with hypoglycemia","Hypoglycemia, known diabetic","","2021-05-06",
