"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"Y92.520","","Commercial","Airport as the place of occurrence of the external cause","Airport","","2021-05-06",
"Y92.39","","Commercial","Other specified sports and athletic area as the place of occurrence of the external cause","Gym","","2021-05-06",
"Y92.6","","Commercial","Industrial and construction area as the place of occurrence of the external cause","Industrial/construction area","","2021-05-06",
"Y92.5","","Commercial","Trade and service area as the place of occurrence of the external cause","Place of business, NOS","","2021-05-06",
"Y92.511","","Commercial","Restaurant or café as the place of occurrence of the external cause","Restaurant/café","","2021-05-06",
"Y92.51","","Commercial","Private commercial establishments as the place of occurrence of the external cause","Store","Includes Y92.512 Grocery store","2021-05-06",
"Y92.59","","Commercial","Other trade areas as the place of occurrence of the external cause","Warehouse","","2021-05-06",
"Y92.531","","Healthcare","Health care provider office as the place of occurrence of the external cause","Doctor's office","","2021-05-06",
"Y92.23","","Healthcare","Hospital as the place of occurrence of the external cause","Hospital","Includes Y92.230 Patient room in hospital","2021-05-06",
"Y92.12","","Healthcare","Nursing home as the place of occurrence of the external cause","Nursing home","","2021-05-06",
"Y92.538","","Healthcare","Other ambulatory health services establishments as the place of occurrence of the external cause","Other ambulatory care","","2021-05-06",
"Y92.532","","Healthcare","Urgent care center as the place of occurrence of the external cause","Urgent care","","2021-05-06",
"Y92.1","","Institutional Residence","Institutional (nonprivate) residence as the place of occurrence of the external cause","Institutional residence","Includes Y92.10 and Y92.19","2021-05-06",
"Y92.14","","Institutional Residence","Prison as the place of occurrence of the external cause","Prison/jail","","2021-05-06",
"Y92.89","","Other","Other specified places as the place of occurrence of the external cause","Abandoned house","","2021-05-06",
"Y92.13","","Other","Military base as the place of occurrence of the external cause","Military installation","","2021-05-06",
"Y92.8","","Other","Other places as the place of occurrence of the external cause","Other, NOS","Includes Y92.9 Unspecified place","2021-05-06",
"Y92.22","","Other","Religious institution as the place of occurrence of the external cause","Religious institution","","2021-05-06",
"Y92.03","","Private Residence","Apartment as the place of occurrence of the external cause","Apartment/condo","","2021-05-06",
"Y92.02","","Private Residence","Mobile home as the place of occurrence of the external cause","Mobile home","","2021-05-06",
"Y92.09","","Private Residence","Other non-institutional residence as the place of occurrence of the external cause","Other private residence","","2021-05-06",
"Y92.0","","Private Residence","Non-institutional (private) residence as the place of occurrence of the external cause","Private residence","Icludes Y92.00, Y92.008, Y92.01","2021-05-06",
"Y92.24","","Public Area","Public administrative building as the place of occurrence of the external cause","Public building","","2021-05-06",
"Y92.2","","Public Area","School, other institution and public administrative area as the place of occurrence of the external cause","Public area, NOS","","2021-05-06",
"Y92.29","","Recreational","Other specified public building as the place of occurrence of the external cause","Clubhouse","","2021-05-06",
"Y92.830","","Recreational","Public park as the place of occurrence of the external cause","Park","","2021-05-06",
"Y92.34","","Recreational","Swimming pool (public) as the place of occurrence of the external cause","Pool","","2021-05-06",
"Y92.838","","Recreational","Other recreation area as the place of occurrence of the external cause","Recreational area, NOS","","2021-05-06",
"Y92.3","","Recreational","Sports and athletics area as the place of occurrence of the external cause","Sports area","","2021-05-06",
"Y92.210","","School","Daycare center as the place of occurrence of the external cause","Daycare","","2021-05-06",
"Y92.21","","School","School (private) (public) (state) as the place of occurrence of the external cause","School","Includes Y92.219 Unspecified school","2021-05-06",
"Y92.16","","School","School dormitory as the place of occurrence of the external cause","School dorm","","2021-05-06",
"Y92.481","","Street/Road","Parking lot as the place of occurrence of the external cause","Parking lot","","2021-05-06",
"Y92.480","","Street/Road","Sidewalk as the place of occurrence of the external cause","Sidewalk","","2021-05-06",
"Y92.4","","Street/Road","Street, highway and other paved roadways as the place of occurrence of the external cause","Street/road/highway","Includes Y92.41 Street and highway, Includes Y92.414 Local residential or business street, Y92.48","2021-05-06",
