"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"161","RxNorm","","acetaminophen","Acetaminophen (Tylenol)","","2021-05-06",
"296","RxNorm","","adenosine","Adenosine (Adenocard)","","2021-05-06",
"435","RxNorm","","albuterol","Albuterol (Proventil, Ventolin, AccuNeb)","","2021-05-06",
"214199","RxNorm","","albuterol / ipratropium","Albuterol / Ipratropium (Combivent, Duoneb)","","2021-05-06",
"703","RxNorm","","amiodarone","Amiodarone (Cordarone)","","2021-05-06",
"1191","RxNorm","","aspirin","Aspirin","","2021-05-06",
"1223","RxNorm","","atropine","Atropine","","2021-05-06",
"1819","RxNorm","","buprenorphine","Buprenorphine","","2024-07-08",
"1901","RxNorm","","calcium chloride","Calcium chloride","","2021-05-06",
"1908","RxNorm","","calcium gluconate","Calcium gluconate (Calgonate)","","2021-05-06",
"2193","RxNorm","","ceftriaxone","Ceftriaxone (Rocephin)","","2021-05-06",
"3264","RxNorm","","dexamethasone","Dexamethasone (Decadron)","","2021-05-06",
"1795477","RxNorm","","500 ML glucose 100 MG/ML Injection","Dextrose 10% (D10)","","2021-05-06",
"260258","RxNorm","","glucose 250 MG/ML Injectable Solution","Dextrose 25% (D25)","","2021-05-06",
"237653","RxNorm","","glucose 500 MG/ML Injectable Solution","Dextrose 50% (D50)","","2021-05-06",
"3322","RxNorm","","diazepam","Diazepam (Valium)","","2021-05-06",
"3443","RxNorm","","diltiazem","Diltiazem (Cardizem)","","2021-05-06",
"3498","RxNorm","","diphenhydramine","Diphenhydramine (Bendadryl)","","2021-05-06",
"3628","RxNorm","","dopamine","Dopamine","","2021-05-06",
"328316","RxNorm","","epinephrine 1 MG/ML","Epinephrine 1 mg/ml (Epi 1:1,000)","","2021-05-06",
"317361","RxNorm","","epinephrine 0.1 MG/ML","Epinephrine 0.1 mg/ml (Epi 1:10,000)","","2021-05-06",
"4177","RxNorm","","etomidate","Etomidate (Amidate)","","2021-05-06",
"4337","RxNorm","","fentanyl","Fentanyl","","2021-05-06",
"4603","RxNorm","","furosemide","Furosemide (Lasix)","","2021-05-06",
"4832","RxNorm","","glucagon","Glucagon (GlucaGen)","","2021-05-06",
"4850","RxNorm","","glucose","Glucose","","2021-05-06",
"5093","RxNorm","","haloperidol","Haloperidol (Haldol)","","2021-05-06",
"5224","RxNorm","","heparin","Heparin","","2021-05-06",
"3423","RxNorm","","hydromorphone","Hydromorphone (Dilaudid)","","2021-05-06",
"1605101","RxNorm","","insulin isophane","Insulin (Humulin)","","2021-05-06",
