"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"18629005","","Administration (Drug, fluid, gas)","Administration of drug or medicament","Drug administration","","2021-05-06",
"386358000","","Administration (Drug, fluid, gas)","Administration of drug or medicament via intravenous route","Drug administration via IV","","2021-05-06",
"431393006","","Administration (Drug, fluid, gas)","Administration of intravenous fluid bolus","IV fluid bolus","","2021-05-06",
"103744005","","Administration (Drug, fluid, gas)","Administration of intravenous fluids","IV fluids","includes 297751002 Infusion of saline","2021-05-06",
"56251003","","Administration (Drug, fluid, gas)","Nebulizer therapy","Nebulizer therapy","","2021-05-06",
"57485005","","Administration (Drug, fluid, gas)","Oxygen therapy","Oxygen therapy, NOS","","2021-05-06",
"371907003","","Administration (Drug, fluid, gas)","Oxygen administration by nasal cannula","Oxygen via cannula","","2021-05-06",
"371908008","","Administration (Drug, fluid, gas)","Oxygen administration by mask","Oxygen via mask","","2021-05-06",
"116859006","","Administration (Drug, fluid, gas)","Transfusion of blood product","Transfusion of blood","","2025-01-14",
"230040009","","Airway, Basic","Airway suction technique","Airway suction","","2021-05-06",
"425447009","","Airway, Basic","Bag valve mask ventilation","Assist ventilations via BVM","","2021-05-06",
"243140006","","Airway, Basic","Lung inflation by intermittent compression of reservoir bag","Assist ventilations, intubated","","2021-05-06",
"284029005","","Airway, Basic","Respired carbon dioxide monitoring","ETCO2 monitoring","","2021-05-06",
"23690002","","Airway, Basic","Abdominal thrust","Heimlich maneuver","","2021-05-06",
"182692007","","Airway, Basic","Nasopharyngeal airway insertion","Nasal airway insertion (NPA)","","2021-05-06",
"7443007","","Airway, Basic","Insertion of oropharyngeal airway","Oral airway insertion (OPA)","","2021-05-06",
"232664002","","Airway, Basic","Manual establishment of airway","Open airway manually","","2021-05-06",
"243142003","","Airway, Advanced","Dual pressure spontaneous ventilation support","BiPAP","","2021-05-06",
"47545007","","Airway, Advanced","Continuous positive airway pressure ventilation treatment","CPAP","Includes 423574009 CPAP weaning","2021-05-06",
"225718003","","Airway, Advanced","Checking position of endotracheal tube","ET tube, check placement","","2021-05-06",
"425543005","","Airway, Advanced","Digital respired carbon dioxide monitoring","ETCO2 digital capnography","","2021-05-06",
"429705000","","Airway, Advanced","Insertion of esophageal tracheal combitube","Intubation, combitube","","2021-05-06",
"427753009","","Airway, Advanced","Insertion of esophageal tracheal double lumen supraglottic airway","Intubation, double lumen supraglottic","11/11/20 ""Double lumen"" added to EMS Description.","2021-05-06",
"424979004","","Airway, Advanced","Laryngeal mask airway insertion","Intubation, laryngeal mask airway (LMA)","Includes 418613003 Tracheal intubation through LMA","2021-05-06",
"232674004","","Airway, Advanced","Orotracheal intubation","Intubation, NOS","Includes 16883004 Endotracheal intubation, 52765003 Intubation","2021-05-06",
"450601000124103","","Airway, Advanced","Orotracheal intubation using bougie device","Intubation, orotracheal","11/11/20 Added to list.","2021-05-06",
"241689008","","Airway, Advanced","Rapid sequence induction","Intubation, rapid sequence intubation (RSI)","","2021-05-06",
