"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"403141006","","Animals","Ant sting","Ant sting","","2021-05-06",
"424213003","","Animals","Allergy to bee venom","Bee venom","","2021-05-06",
"232346004","","Animals","Allergy to cat dander","Cat dander","","2021-05-06",
"15911003","","Animals","Cow's milk protein sensitivity","Cow's milk protein sensitivity","","2021-05-06",
"232347008","","Animals","Allergy to animal dander","Dander Unspecified","","2021-05-06",
"419271008","","Animals","Allergy to dog dander","Dog dander","","2021-05-06",
"232348003","","Animals","Allergy to feather","Feather","","2021-05-06",
"307427009","","Animals","Hornet sting","Hornet sting","","2021-05-06",
"419063004","","Animals","Allergy to horse dander","Horse dander","","2021-05-06",
"422921000","","Animals","Allergy to scorpion venom","Scorpion venom","","2021-05-06",
"427487000","","Animals","Allergy to spider venom","Spider venom","","2021-05-06",
"423058007","","Animals","Allergy to wasp venom","Wasp venom","","2021-05-06",
"106190000","","General","Allergic state","Allergy, Unspecified","","2021-05-06",
"160244002","","General","No known allergies","No known allergies","","2021-05-06",
"444316004","","General","Seasonal allergy","Seasonal, Hay fever","","2021-05-06",
"390952000","","Environment","Allergy to dust","Dust","","2021-05-06",
"426232007","","Environment","Environmental allergy","Environmental, Unspecified","","2021-05-06",
"418689008","","Environment","Allergy to grass pollen","Grass pollen","","2021-05-06",
"419474003","","Environment","Allergy to mold","Mold","","2021-05-06",
"294619002","","Environment","Pesticide allergy","Pesticide","","2021-05-06",
"402594000","","Environment","Allergy to plant","Plants","","2021-05-06",
"300910009","","Environment","Allergy to pollen","Pollen","","2021-05-06",
"419101002","","Environment","Allergy to seed","Seeds","","2021-05-06",
"258155009","","Environment","Photosensitization caused by sun","Sunlight (skin sensitivity to sun)","","2021-05-06",
"402595004","","Environment","Allergy to wood","Wood","","2021-05-06",
"425605001","","Environment","Allergy to wool","Wool","","2021-05-06",
"409136006","","Grain","Allergy to pulse vegetable","Legumes","","2021-05-06",
"419342009","","Grain","Allergy to oat","Oats","","2021-05-06",
"420174000","","Grain","Allergy to wheat","Wheat","","2021-05-06",
"420080006","","Fruits/Vegetables","Allergy to carrot","Carrot","","2021-05-06",
"419573007","","Fruits/Vegetables","Allergy to corn","Corn","","2021-05-06",
"91932007","","Fruits/Vegetables","Allergy to fruit","Fruit","","2021-05-06",
"294316000","","Fruits/Vegetables","Allergy to olive oil","Olive oil","","2021-05-06",
"91938006","","Fruits/Vegetables","Allergy to strawberry","Strawberries","","2021-05-06",
"418779002","","Fruits/Vegetables","Allergy to tomato","Tomato","","2021-05-06",
"712839001","","Nuts","Allergy to almond","Almond","","2021-05-06",
"712838009","","Nuts","Allergy to cashew nut","Cashew","","2021-05-06",
"419814004","","Nuts","Allergy to coconut oil","Coconut oil","","2021-05-06",
"712840004","","Nuts","Allergy to hazelnut","Hazelnut","","2021-05-06",
"91934008","","Nuts","Allergy to nut","Nuts, unspecified","","2021-05-06",
"91935009","","Nuts","Allergy to peanut","Peanut","","2021-05-06",
"91940001","","Nuts","Allergy to walnut","Walnut","","2021-05-06",
"417532002","","Seafood","Allergy to fish","Fish","","2021-05-06",
"300913006","","Seafood","Allergy to shellfish","Shellfish","","2021-05-06",
"419972009","","Seafood","Allergy to shrimp","Shrimp","","2021-05-06",
"300914000","","Food, Other","Allergy to cheese","Cheese","","2021-05-06",
"300912001","","Food, Other","Allergy to chocolate","Chocolate","","2021-05-06",
