"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"F90.9","","Behavioral","Attention-deficit hyperactivity disorder, unspecified type","ADHD","","2021-05-06",
"F50.00","","Behavioral","Anorexia nervosa, unspecified","Anorexia Nervosa","","2021-05-06",
"F60.2","","Behavioral","Antisocial personality disorder","Antisocial Personality","","2021-05-06",
"F84.5","","Behavioral","Asperger's syndrome","Asperger's","","2021-05-06",
"F84.0","","Behavioral","Autistic disorder","Autistic","","2021-05-06",
"F60.6","","Behavioral","Avoidant personality disorder","Avoidant Personality","","2021-05-06",
"F31.9","","Behavioral","Bipolar disorder, unspecified","Bipolar Disorder","","2021-05-06",
"F60.3","","Behavioral","Borderline personality disorder","Borderline Personality","","2021-05-06",
"F50.2","","Behavioral","Bulimia nervosa","Bulimia Nervosa","","2021-05-06",
"F03.90","","Behavioral","Unspecified dementia without behavioral disturbance","Dementia (w/o behavioral disturbance)","","2021-05-06",
"F03.91","","Behavioral","Unspecified dementia with behavioral disturbance","Dementia (with behavioral disturbance)","","2021-05-06",
"F60.7","","Behavioral","Dependent personality disorder","Dependent Personality","","2021-05-06",
"Z65.5","","Behavioral","Exposure to disaster, war and other hostilities","Exposure to War","","2021-05-06",
"F60.4","","Behavioral","Histrionic personality disorder","Histrionic Personality","","2021-05-06",
"Z59.0","","Behavioral","Homelessness","Homelessness","","2021-05-06",
"F51.01","","Behavioral","Primary insomnia","Insomnia","","2021-05-06",
"F33.9","","Behavioral","Major depressive disorder, recurrent, unspecified","Major Depression","","2021-05-06",
"F30.9","","Behavioral","Manic episode, unspecified","Manic Episodes","","2021-05-06",
"F60.81","","Behavioral","Narcissistic personality disorder","Narcissistic Personality","","2021-05-06",
"F60.5","","Behavioral","Obsessive-compulsive personality disorder","Obsessive-Compulsive","","2021-05-06",
"F60.9","","Behavioral","Personality disorder, unspecified","Other Personality Dis.","","2021-05-06",
"F60.0","","Behavioral","Paranoid personality disorder","Paranoid Personality","","2021-05-06",
"F43.10","","Behavioral","Post-traumatic stress disorder, unspecified","PTSD","","2021-05-06",
"F25.9","","Behavioral","Schizoaffective disorder, unspecified","Schizoaffective Disorder","","2021-05-06",
"F60.1","","Behavioral","Schizoid personality disorder","Schizoid Personality","","2021-05-06",
"Z73.3","","Behavioral","Stress, not elsewhere classified","Stress","","2021-05-06",
"E85.9","","Blood","Amyloidosis, unspecified","Amyloidosis","","2021-05-06",
"D64.9","","Blood","Anemia, unspecified","Anemia","","2021-05-06",
"D67","","Blood","Hereditary factor IX deficiency","Blood -Factor IX Deficiency","","2021-05-06",
"D66","","Blood","Hereditary factor VIII deficiency","Blood -Factor VIII Deficiency","","2021-05-06",
"E87.70","","Blood","Fluid overload, unspecified","Fluid Overload","","2021-05-06",
"E87.5","","Blood","Hyperkalemia","Hyperkalemia","","2021-05-06",
"E78.5","","Blood","Hyperlipidemia, unspecified","Hyperlipidemia","","2021-05-06",
"E87.6","","Blood","Hypokalemia","Hypokalemia","","2021-05-06",
"D70.9","","Blood","Neutropenia, unspecified","Neutropenia","","2021-05-06",
"D86.9","","Blood","Sarcoidosis, unspecified","Sarcoidosis","","2021-05-06",
"D57.00","","Blood","Hb-SS disease with crisis, unspecified","Sickle Cell Disease","","2021-05-06",
"D57.3","","Blood","Sickle-cell trait","Sickle Cell Trait","","2021-05-06",
"D73.9","","Blood","Disease of spleen, unspecified","Splenic Disease","","2021-05-06",
"D69.6","","Blood","Thrombocytopenia, unspecified","Thrombocytopenia","","2021-05-06",
"E53.9","","Blood","Vitamin B deficiency, unspecified","Vitamin B Deficiency","","2021-05-06",
"D51.9","","Blood","Vitamin B12 deficiency anemia, unspecified","Vitamin B12 Deficiency","","2021-05-06",
"E55.9","","Blood","Vitamin D deficiency, unspecified","Vitamin D Deficiency","","2021-05-06",
"E56.1","","Blood","Deficiency of vitamin K","Vitamin K Deficiency","","2021-05-06",
"C67.9","","Cancer","Malignant neoplasm of bladder, unspecified","Bladder","","2021-05-06",
"C41.9","","Cancer","Malignant neoplasm of bone and articular cartilage, unspecified","Bone","","2021-05-06",
"C71.9","","Cancer","Malignant neoplasm of brain, unspecified","Brain","","2021-05-06",
"C50.919","","Cancer","Malignant neoplasm of unspecified site of unspecified female breast","Breast (Female)","","2021-05-06",
"C50.929","","Cancer","Malignant neoplasm of unspecified site of unspecified male breast","Breast (Male)","","2021-05-06",
"C53.9","","Cancer","Malignant neoplasm of cervix uteri, unspecified","Cervix","","2021-05-06",
"C18.9","","Cancer","Malignant neoplasm of colon, unspecified","Colon","","2021-05-06",
"C15.9","","Cancer","Malignant neoplasm of esophagus, unspecified","Esophagus","","2021-05-06",
"C23","","Cancer","Malignant neoplasm of gallbladder","Gallbladder","","2021-05-06",
"C81.70","","Cancer","Other Hodgkin lymphoma, unspecified site","Hodgkin Lymphoma","","2021-05-06",
"C26.0","","Cancer","Malignant neoplasm of intestinal tract, part unspecified","Intestinal Tract","","2021-05-06",
"C46.9","","Cancer","Kaposi's sarcoma, unspecified","Kaposi's Sarcoma","","2021-05-06",
"C64.9","","Cancer","Malignant neoplasm of unspecified kidney, except renal pelvis","Kidney","","2021-05-06",
"C32.9","","Cancer","Malignant neoplasm of larynx, unspecified","Larynx","","2021-05-06",
"C95.90","","Cancer","Leukemia, unspecified not having achieved remission","Leukemia","","2021-05-06",
"C95.91","","Cancer","Leukemia, unspecified, in remission","Leukemia (In Remission)","","2021-05-06",
"C22.9","","Cancer","Malignant neoplasm of liver, not specified as primary or secondary","Liver","","2021-05-06",
"C34.90","","Cancer","Malignant neoplasm of unspecified part of unspecified bronchus or lung","Lung or Bronchus","","2021-05-06",
"C45.9","","Cancer","Mesothelioma, unspecified","Mesothelioma","","2021-05-06",
"C90.02","","Cancer","Multiple myeloma in relapse","Multiple Myeloma (Relapse)","","2021-05-06",
"C90.01","","Cancer","Multiple myeloma in remission","Multiple Myeloma (Remission)","","2021-05-06",
"C85.90","","Cancer","Non-Hodgkin lymphoma, unspecified, unspecified site","Non-Hodgkin Lymphoma","","2021-05-06",
"C10.9","","Cancer","Malignant neoplasm of oropharynx, unspecified","Oropharynx","","2021-05-06",
"C56.9","","Cancer","Malignant neoplasm of unspecified ovary","Ovary","","2021-05-06",
"C25.9","","Cancer","Malignant neoplasm of pancreas, unspecified","Pancreas","","2021-05-06",
"C61","","Cancer","Malignant neoplasm of prostate","Prostate","","2021-05-06",
"C20","","Cancer","Malignant neoplasm of rectum","Rectum","","2021-05-06",
"C43.9","","Cancer","Malignant melanoma of skin, unspecified","Skin","","2021-05-06",
"C17.9","","Cancer","Malignant neoplasm of small intestine, unspecified","Small Intestine","","2021-05-06",
"C72.0","","Cancer","Malignant neoplasm of spinal cord","Spinal Cord","","2021-05-06",
"C26.1","","Cancer","Malignant neoplasm of spleen","Spleen","","2021-05-06",
"C16.9","","Cancer","Malignant neoplasm of stomach, unspecified","Stomach","","2021-05-06",
"C62.90","","Cancer","Malignant neoplasm of unspecified testis, unspecified whether descended or undescended","Testis","","2021-05-06",
"C73","","Cancer","Malignant neoplasm of thyroid gland","Thyroid","","2021-05-06",
"C55","","Cancer","Malignant neoplasm of uterus, part unspecified","Uterus","","2021-05-06",
"C52","","Cancer","Malignant neoplasm of vagina","Vagina","","2021-05-06",
"I20.9","","Cardiovascular","Angina pectoris, unspecified","Angina","","2021-05-06",
"I23.7","","Cardiovascular","Postinfarction angina","Angina Post MI","","2021-05-06",
"I20.0","","Cardiovascular","Unstable angina","Angina Unstable","","2021-05-06",
"I25.119","","Cardiovascular","Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris","Atherosclerosis","","2021-05-06",
"I48.92","","Cardiovascular","Unspecified atrial flutter","Atrial Flutter","","2021-05-06",
"I46.9","","Cardiovascular","Cardiac arrest, cause unspecified","Cardiac Arrest","","2021-05-06",
"I31.4","","Cardiovascular","Cardiac tamponade","Cardiac Tamponade","","2021-05-06",
"I51.7","","Cardiovascular","Cardiomegaly","Cardiomegaly","","2021-05-06",
"I42.9","","Cardiovascular","Cardiomyopathy, unspecified","Cardiomyopathy","","2021-05-06",
"I42.1","","Cardiovascular","Obstructive hypertrophic cardiomyopathy","Cardiomyopathy Hypertrophic","","2021-05-06",
"I25.5","","Cardiovascular","Ischemic cardiomyopathy","Cardiomyopathy Ischemic","","2021-05-06",
"I33.9","","Cardiovascular","Acute and subacute endocarditis, unspecified","Endocarditis","","2021-05-06",
"I38","","Cardiovascular","Endocarditis, valve unspecified","Endocarditis w/Valve Involved","","2021-05-06",
"I51.9","","Cardiovascular","Heart disease, unspecified","Heart Disease Unspecified","","2021-05-06",
"I50.9","","Cardiovascular","Heart failure, unspecified","Heart Failure","","2021-05-06",
"I10","","Cardiovascular","Essential (primary) hypertension","Hypertension","","2021-05-06",
"I95.9","","Cardiovascular","Hypotension, unspecified","Hypotension","","2021-05-06",
"I34.1","","Cardiovascular","Nonrheumatic mitral (valve) prolapse","Mitral Valve Prolapse","","2021-05-06",
