"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"Z88.6","ICD-10","","Allergy status to analgesic agent status","Analgesic","","2021-05-06",
"Z88.4","ICD-10","","Allergy status to anesthetic agent status","Anesthetic","","2021-05-06",
"Z88.1","ICD-10","","Allergy status to other antibiotic agents status","Antibiotic","","2021-05-06",
"Z88.3","ICD-10","","Allergy status to other anti-infective agents status","Anti-Infective","","2021-05-06",
"Z88.9","ICD-10","","Allergy status to unspecified drugs, medicaments and biological substances status","Medication, unspecified","","2021-05-06",
"Z88.5","ICD-10","","Allergy status to narcotic agent status","Narcotic","","2021-05-06",
"Z88.8","ICD-10","","Allergy status to other drugs, medicaments and biological substances status","Other medication or biological substance","","2021-05-06",
"Z88.0","ICD-10","","Allergy status to penicillin","Penicillin","","2021-05-06",
"Z88.7","ICD-10","","Allergy status to serum and vaccine status","Serum or Vaccine","","2021-05-06",
"Z88.2","ICD-10","","Allergy status to sulfonamides status","Sulfa Drugs","","2021-05-06",
