"Value","CodeType","Category","SourceLabel","SuggestedLabel","Note","Date",
"Y93.K","","Animal Care","Activities involving animal care","Animal care activity","","2021-05-06",
"Y93.K3","","Animal Care","Activity, grooming and shearing an animal","Grooming or shearing an animal","","2021-05-06",
"Y93.K2","","Animal Care","Activity, milking an animal","Milking an animal","","2021-05-06",
"Y93.K9","","Animal Care","Activity, other involving animal care","Other activities involving animal care","","2021-05-06",
"Y93.K1","","Animal Care","Activity, walking an animal","Walking an animal","","2021-05-06",
"Y93.D","","Arts and Crafts","Activities involving arts and handcrafts","Arts or handcrafts activity","","2021-05-06",
"Y93.D3","","Arts and Crafts","Activity, furniture building and finishing","Furniture building or finishing","","2021-05-06",
"Y93.D1","","Arts and Crafts","Activity, knitting and crocheting","Knitting or crocheting","","2021-05-06",
"Y93.D9","","Arts and Crafts","Activity, other involving arts and handcrafts","Other activities involving arts or handcrafts","","2021-05-06",
"Y93.D2","","Arts and Crafts","Activity, sewing","Sewing","","2021-05-06",
"Y93.A","","Cardio Activities","Activities involving other cardiorespiratory exercise","Cardiorespiratory exercise activity","","2021-05-06",
"Y93.A3","","Cardio Activities","Activity, aerobic and step exercise","Aerobic or step exercise","","2021-05-06",
"Y93.A2","","Cardio Activities","Activity, calisthenics","Calisthenics","","2021-05-06",
"Y93.A4","","Cardio Activities","Activity, circuit training","Circuit training","","2021-05-06",
"Y93.A1","","Cardio Activities","Activity, exercise machines primarily for cardiorespiratory conditioning","Exercise machines primarily for cardiorespiratory conditioning","","2021-05-06",
"Y93.A6","","Cardio Activities","Activity, grass drills","Grass drills","","2021-05-06",
"Y93.A5","","Cardio Activities","Activity, obstacle course","Obstacle course","","2021-05-06",
"Y93.A9","","Cardio Activities","Activity, other involving cardiorespiratory exercise","Other activities involving cardiorespiratory exercise","","2021-05-06",
"Y93.F","","Caregiving","Activities involving caregiving","Caregiving activity","","2021-05-06",
"Y93.F1","","Caregiving","Activity, caregiving, bathing","Caregiving, bathing","","2021-05-06",
"Y93.F2","","Caregiving","Activity, caregiving, lifting","Caregiving, lifting","","2021-05-06",
"Y93.F9","","Caregiving","Activity, other caregiving","Other caregiving activities","","2021-05-06",
"Y93.3","","Climb/Jumping Activities","Activities involving climbing, rappelling and jumping off","Climbing or jumping activity","","2021-05-06",
"Y93.33","","Climb/Jumping Activities","Activity, BASE jumping","BASE jumping","","2021-05-06",
"Y93.34","","Climb/Jumping Activities","Activity, bungee jumping","Bungee jumping","","2021-05-06",
"Y93.35","","Climb/Jumping Activities","Activity, hang gliding","Hang gliding","","2021-05-06",
"Y93.31","","Climb/Jumping Activities","Activity, mountain climbing, rock climbing and wall climbing","Mountain climbing, rock climbing, or wall climbing","","2021-05-06",
"Y93.39","","Climb/Jumping Activities","Activity, other involving climbing, rappelling and jumping off","Other climbing, rappelling, or jumping off activities","","2021-05-06",
"Y93.32","","Climb/Jumping Activities","Activity, rappelling","Rappelling","","2021-05-06",
"Y93.6","","Contact Sports","Activities involving other sports and athletics played as a team or group","athletic team or group activity","","2021-05-06",
"Y93.62","","Contact Sports","Activity, american flag or touch football","American flag or touch football","","2021-05-06",
"Y93.61","","Contact Sports","Activity, american tackle football","American tackle football","","2021-05-06",
"Y93.64","","Contact Sports","Activity, baseball","Baseball","","2021-05-06",
"Y93.67","","Contact Sports","Activity, basketball","Basketball","","2021-05-06",
"Y93.65","","Contact Sports","Activity, lacrosse and field hockey","Lacrosse or field hockey","","2021-05-06",
"Y93.69","","Contact Sports","Activity, other involving other sports and athletics played as a team or group","Other athletics played as a team or group activities","","2021-05-06",
"Y93.63","","Contact Sports","Activity, rugby","Rugby","","2021-05-06",
"Y93.6A","","Contact Sports","Activity, physical games generally associated with school recess, summer camp and children","School recess, summer camp or children activities","","2021-05-06",
"Y93.66","","Contact Sports","Activity, soccer","Soccer","","2021-05-06",
"Y93.68","","Contact Sports","Activity, volleyball (beach) (court)","Volleyball (beach or court)","","2021-05-06",
"Y93.4","","Dancing or Rhythmic Activities","Activities involving dancing and other rhythmic movement","Dancing or rhythmic activity","","2021-05-06",
"Y93.45","","Dancing or Rhythmic Activities","Activity, cheerleading","Cheerleading","","2021-05-06",
"Y93.41","","Dancing or Rhythmic Activities","Activity, dancing","Dancing","","2021-05-06",
"Y93.43","","Dancing or Rhythmic Activities","Activity, gymnastics","Gymnastic","","2021-05-06",
"Y93.49","","Dancing or Rhythmic Activities","Activity, other involving dancing and other rhythmic movements","Other dancing or rhythmic movement activities","","2021-05-06",
"Y93.44","","Dancing or Rhythmic Activities","Activity, trampolining","Trampolining","","2021-05-06",
"Y93.42","","Dancing or Rhythmic Activities","Activity, yoga","Yoga","","2021-05-06",
"Y93.B","","Exercise","Activities involving other muscle strengthening exercises","Muscle strengthening activity","","2021-05-06",
"Y93.B1","","Exercise","Activity, exercise machines primarily for muscle strengthening","Exercise machines primarily for muscle strengthening","","2021-05-06",
"Y93.B3","","Exercise","Activity, free weights","Free weights","","2021-05-06",
"Y93.B9","","Exercise","Activity, other involving muscle strengthening exercises","Other activities involving muscle strengthening exercises","","2021-05-06",
"Y93.B4","","Exercise","Activity, pilates","Pilates","","2021-05-06",
"Y93.B2","","Exercise","Activity, push-ups, pull-ups, sit-ups","Push-ups, pull-ups, sit-ups","","2021-05-06",
"Y93.G","","Food Preparation","Activities involving food preparation, cooking and grilling","Food preparation activity","","2021-05-06",
"Y93.G3","","Food Preparation","Activity, cooking and baking","Cooking or baking","","2021-05-06",
"Y93.G1","","Food Preparation","Activity, food preparation and clean up","Food preparation or clean up","","2021-05-06",
